Users,Bandwidth,Latency,SignalStrength,PacketLoss,Throughput,Jitter,EnergyConsumption,HandoverRate,MobilitySpeed,EdgeServerLoad,NetworkSlice,Congestion
1481,1253,21.96,75,5.29,861.3,13.97,44.91,4.04,97,38,eMBB,Low
1198,1557,7.63,62,5.28,892.92,10.29,76.86,1.73,74,60,mMTC,Low
3526,115,36.82,82,2.16,5.0,14.42,54.87,2.8,33,27,URLLC,Low
3755,1788,44.05,72,10.88,1076.76,28.07,96.02,10.87,160,67,eMBB,High
1009,1523,6.32,65,0.33,962.0,2.81,57.93,0.44,25,53,eMBB,Low
287,1125,5.0,48,0.99,528.37,1.22,33.49,2.64,65,25,eMBB,Low
4144,285,97.15,63,10.96,59.55,33.83,103.81,3.71,124,74,eMBB,High
3856,718,29.45,85,3.53,495.95,10.78,38.02,7.4,62,11,URLLC,Low
2115,927,34.07,83,6.57,674.41,14.3,76.36,6.41,86,65,URLLC,Medium
5509,1459,66.49,77,5.5,934.21,20.67,109.21,2.62,40,88,mMTC,Medium
2192,519,40.89,39,4.56,139.92,16.71,61.42,1.97,97,37,URLLC,Medium
3744,808,53.94,76,7.16,483.84,23.84,89.03,2.84,123,74,eMBB,High
2230,1199,26.89,41,5.3,414.13,13.17,35.64,6.03,78,14,URLLC,Medium
5342,1020,40.27,76,1.23,633.7,15.21,62.74,3.25,9,31,mMTC,Low
457,243,13.49,70,7.69,147.77,18.05,33.1,11.37,14,22,URLLC,High
5747,227,85.25,61,7.71,5.0,28.39,104.29,5.57,41,74,mMTC,High
5285,1633,24.17,92,0.21,1367.61,6.99,67.2,0.71,92,25,URLLC,Low
5876,373,106.41,80,10.05,126.51,35.08,126.46,8.75,16,95,URLLC,High
2522,274,43.08,100,5.04,199.44,16.83,78.7,3.95,8,73,eMBB,Medium
4357,742,53.97,59,5.75,307.88,18.77,69.6,7.84,113,41,eMBB,Medium
4645,559,78.61,61,7.9,202.42,25.16,115.36,3.36,35,89,eMBB,High
1597,202,64.64,35,9.13,25.4,28.22,66.97,6.85,35,60,eMBB,High
5232,1503,76.7,76,12.63,891.26,35.27,109.41,9.27,47,88,URLLC,High
6427,778,87.3,86,12.63,437.98,37.32,95.54,11.14,50,67,eMBB,High
2258,1044,53.21,59,1.77,550.42,12.53,77.12,3.13,96,55,URLLC,Medium
6146,1555,51.63,88,6.52,1140.4,18.58,101.3,4.02,118,61,mMTC,Medium
2655,740,57.47,40,8.86,207.77,28.58,97.9,5.57,94,72,eMBB,High
5509,1207,66.98,92,10.36,876.85,30.17,109.7,11.13,69,85,eMBB,High
2442,1565,6.0,87,6.16,1230.61,11.02,77.77,10.82,73,69,mMTC,Medium
3051,789,47.91,100,3.93,686.89,12.69,85.36,1.08,79,74,eMBB,Low
1338,475,36.9,92,5.29,384.29,18.44,85.01,1.58,67,90,eMBB,Medium
1073,991,43.78,36,8.39,304.99,23.98,84.48,5.95,149,64,eMBB,High
4827,1440,49.35,56,4.7,654.14,16.88,110.35,1.28,76,66,eMBB,Medium
4065,1084,55.51,71,3.18,647.62,12.83,100.72,4.15,115,80,mMTC,Medium
5786,1702,70.93,54,6.42,725.26,27.0,114.46,1.78,5,82,mMTC,High
1150,1245,36.46,58,7.58,647.74,18.72,100.97,7.63,153,95,URLLC,High
3801,396,52.36,99,11.05,260.91,26.87,62.39,11.39,74,35,mMTC,High
2880,1661,5.0,99,5.24,1500.58,9.71,48.79,11.96,87,21,mMTC,Low
1688,1630,22.91,35,8.15,489.55,18.73,83.46,4.5,2,80,eMBB,High
3978,1659,33.22,37,8.48,471.0,20.06,82.06,7.19,51,55,mMTC,High
2468,1504,21.21,80,7.94,1061.89,10.54,76.47,10.28,73,56,URLLC,Medium
5889,760,85.55,89,6.34,493.44,26.68,121.29,1.41,124,88,mMTC,High
536,1413,5.0,98,3.72,1328.41,9.07,51.57,8.27,64,47,mMTC,Low
2928,574,28.59,79,0.18,379.58,3.67,54.68,4.91,51,30,eMBB,Low
1656,635,27.17,60,2.38,332.04,12.06,45.32,2.47,75,23,eMBB,Low
5272,689,50.88,99,3.23,531.95,16.4,58.23,4.83,141,11,eMBB,Low
3958,188,84.68,58,7.12,5.0,28.28,107.0,0.91,88,81,eMBB,High
1404,451,41.58,69,9.12,252.44,20.96,84.69,8.34,71,79,mMTC,High
6274,934,51.6,58,2.76,372.41,14.54,87.05,3.03,67,42,mMTC,Medium
2484,695,16.92,62,1.42,363.7,6.17,44.94,3.74,155,15,eMBB,Low
282,847,12.49,50,1.45,411.33,4.55,54.36,1.45,137,46,URLLC,Low
5665,285,54.95,93,7.89,106.0,25.09,64.72,10.38,114,23,eMBB,High
5675,926,52.3,88,5.74,634.03,18.45,80.63,5.92,56,46,eMBB,Medium
1689,122,22.43,50,3.29,17.1,9.09,32.19,6.87,65,17,eMBB,Low
1687,944,37.54,49,8.58,387.31,20.01,98.59,6.83,89,86,eMBB,High
759,1348,5.0,45,1.21,581.51,2.05,40.98,4.93,49,22,mMTC,Low
259,1390,5.0,99,0.87,1359.65,2.08,49.7,2.31,13,49,eMBB,Low
4053,1458,43.23,77,9.34,933.95,23.29,90.97,8.94,15,67,URLLC,High
1111,864,19.1,47,0.0,378.3,2.98,48.42,1.52,170,27,URLLC,Low
152,555,33.65,44,4.53,231.18,15.61,66.43,1.25,41,66,eMBB,Medium
5241,162,104.36,75,11.2,5.0,40.83,123.29,8.52,109,92,mMTC,High
5249,1213,39.27,84,1.25,877.08,6.63,73.83,2.51,21,47,mMTC,Low
2407,269,50.12,93,6.91,175.59,23.73,53.06,3.68,67,41,eMBB,Medium
1328,879,29.86,73,9.69,556.66,23.2,95.9,5.7,18,95,URLLC,High
5690,1015,79.23,37,8.72,206.01,27.3,112.63,5.39,65,75,eMBB,High
5685,330,108.12,41,12.73,5.0,40.44,128.01,8.5,166,86,eMBB,High
1135,370,21.75,83,1.38,275.19,6.83,38.81,7.48,72,34,eMBB,Low
3802,1748,46.58,60,5.83,902.8,14.99,94.12,7.73,146,67,URLLC,Medium
6146,1304,74.84,67,9.06,654.07,28.7,116.66,8.57,143,84,URLLC,High
4145,405,56.71,82,4.44,216.19,18.81,72.7,3.51,53,42,eMBB,Medium
5045,1614,69.32,36,8.23,415.07,24.98,116.88,3.87,152,75,eMBB,High
4549,1512,36.84,66,5.38,839.45,12.82,76.14,5.26,111,39,mMTC,Low
5294,1710,59.23,38,9.72,464.82,27.58,115.82,3.69,17,90,eMBB,High
5935,916,65.28,54,10.76,301.91,34.46,86.04,11.82,150,43,eMBB,High
5660,587,97.81,70,11.37,230.47,35.51,123.71,9.77,116,95,URLLC,High
5186,810,69.25,66,7.2,372.87,23.33,104.43,1.98,84,78,mMTC,High
1364,1704,11.92,62,2.99,996.06,6.83,70.61,0.07,138,57,eMBB,Low
1984,151,43.51,35,3.3,5.0,16.58,63.8,0.51,38,49,URLLC,Medium
1909,1350,5.82,94,0.0,1221.28,0.5,65.85,2.93,104,60,mMTC,Low
3267,720,48.13,90,7.21,527.39,22.46,102.87,1.37,67,89,eMBB,High
3897,1019,29.01,69,4.23,580.9,11.47,53.73,6.4,24,22,URLLC,Low
2441,687,33.27,64,3.13,367.19,10.54,71.61,10.3,157,40,eMBB,Medium
6452,1690,53.41,88,10.75,1192.67,25.87,91.42,8.84,172,48,URLLC,High
3514,645,54.1,70,5.12,344.39,17.94,86.82,2.59,122,72,URLLC,High
5307,1447,45.1,89,9.21,1056.31,21.81,94.02,4.79,120,57,URLLC,Medium
917,133,41.73,92,6.39,92.92,17.29,64.77,6.09,60,57,eMBB,High
5995,607,70.26,99,9.28,404.58,23.49,107.61,9.72,99,70,mMTC,High
6156,690,67.4,85,7.63,395.31,21.64,69.92,10.07,50,21,eMBB,High
2537,1635,32.56,56,9.58,779.08,22.82,106.89,10.92,97,87,eMBB,High
988,1661,5.0,87,4.81,1362.45,11.6,68.38,6.11,136,65,eMBB,Low
6051,272,68.35,70,10.41,22.61,36.46,73.75,8.33,1,27,URLLC,High
5376,137,65.89,70,2.29,5.0,17.6,69.54,1.34,4,36,URLLC,Medium
767,1540,5.0,86,4.41,1256.55,7.37,54.03,6.78,179,37,eMBB,Low
4828,1214,65.69,87,6.04,882.32,18.12,114.62,2.98,85,91,URLLC,High
2724,208,67.84,84,8.21,94.67,27.25,98.17,5.18,132,89,eMBB,High
5838,785,69.59,75,11.76,385.1,29.61,100.82,7.61,67,61,URLLC,High
4332,931,42.93,52,4.39,358.11,13.58,56.33,3.08,8,25,eMBB,Low
6142,1429,65.3,56,7.69,595.41,26.6,128.97,0.63,92,86,URLLC,High
5893,87,84.85,100,4.9,5.0,24.19,99.36,0.12,149,67,eMBB,High
4623,108,58.48,55,6.55,5.0,19.8,57.22,0.27,154,18,mMTC,Medium
5671,1215,44.9,78,0.29,803.63,5.16,74.86,0.1,137,35,eMBB,Low
918,1026,7.54,81,0.0,808.11,1.78,55.57,1.32,124,37,eMBB,Low
2288,1776,27.02,73,8.2,1150.69,19.47,88.5,2.87,60,86,eMBB,Medium
1206,210,13.24,63,2.15,99.78,9.05,59.83,2.65,50,45,mMTC,Low
2324,267,15.72,88,6.37,164.39,8.67,43.56,11.84,9,18,mMTC,Medium
297,1778,5.0,51,6.65,849.1,12.44,64.43,3.67,133,56,eMBB,Low
2771,788,44.48,94,5.69,636.32,19.51,94.42,1.53,61,87,URLLC,Medium
6191,1578,52.08,65,11.02,776.73,27.27,101.27,6.55,112,60,mMTC,High
3592,1467,44.57,83,10.26,1023.7,22.27,99.7,10.3,132,85,URLLC,High
2548,1307,31.39,36,7.41,377.77,16.4,98.41,8.14,121,66,URLLC,High
570,291,18.31,82,0.0,224.37,3.37,53.16,3.55,122,41,eMBB,Low
6461,1724,54.46,48,9.51,600.41,25.0,110.02,6.74,62,76,eMBB,High
2048,355,40.81,93,4.01,267.92,14.77,74.2,8.58,110,66,mMTC,Medium
5124,1176,48.88,92,8.42,877.91,25.67,93.22,8.74,88,63,mMTC,High
3999,1782,7.08,92,5.82,1459.95,10.37,48.28,8.0,50,25,URLLC,Low
2110,322,56.27,85,9.79,198.62,29.21,80.09,10.45,177,71,eMBB,High
3900,1205,67.77,36,13.26,288.37,34.51,119.21,10.44,131,93,eMBB,High
5101,1066,68.34,75,9.86,606.28,29.74,100.78,6.95,103,65,URLLC,High
6418,764,70.85,50,7.48,197.74,25.23,85.87,5.16,122,32,mMTC,High
4218,250,60.42,38,9.2,5.0,27.25,61.66,7.7,47,26,mMTC,High
3896,732,75.99,46,12.45,204.39,35.92,107.51,9.82,31,89,mMTC,High
4088,267,66.62,63,0.28,65.62,13.75,78.72,0.07,119,47,URLLC,Medium
334,1544,20.35,41,12.68,557.8,25.23,92.75,11.9,178,81,eMBB,High
5320,1189,87.97,48,8.56,397.01,23.73,121.68,2.19,179,92,eMBB,High
1028,1579,5.0,46,2.78,683.81,6.82,51.64,5.64,98,39,mMTC,Low
3707,131,81.09,39,12.58,5.0,32.04,91.3,10.46,73,67,URLLC,High
622,190,46.59,66,6.85,102.69,18.82,84.09,2.7,33,87,eMBB,High
6004,956,69.53,77,4.63,557.62,15.6,77.52,5.72,163,31,eMBB,Medium
3623,1146,24.02,79,0.0,814.76,7.72,54.41,1.59,69,26,URLLC,Low
4626,290,69.64,43,6.63,5.0,24.64,70.99,4.74,170,24,eMBB,High
4988,1303,53.56,83,3.04,929.39,14.16,81.97,2.13,109,57,eMBB,Low
1729,937,5.0,67,3.17,567.98,9.13,47.48,4.36,15,41,URLLC,Low
5932,706,97.28,52,10.78,185.84,36.9,116.39,4.48,58,86,URLLC,High
4728,1129,55.33,43,14.61,308.16,35.05,120.76,11.92,18,94,URLLC,High
5942,378,80.13,96,13.58,173.26,38.3,83.42,11.94,94,49,eMBB,High
5871,1180,67.99,91,5.3,879.6,20.48,100.54,1.38,112,66,URLLC,Medium
1416,1003,20.35,63,6.96,559.84,13.02,75.05,8.71,40,67,eMBB,Medium
2957,216,44.49,59,4.72,48.5,17.95,53.93,0.62,80,25,eMBB,Medium
5108,1123,61.91,49,5.34,398.08,20.08,87.33,0.36,174,37,URLLC,Medium
1224,519,5.0,40,0.6,175.96,0.5,36.42,1.26,102,10,URLLC,Low
5721,290,86.17,76,11.28,56.66,35.7,89.85,11.59,53,50,mMTC,High
5523,831,70.08,63,10.8,338.34,31.06,93.37,11.29,94,57,URLLC,High
2687,1654,40.89,38,4.54,537.57,18.48,74.76,2.33,146,40,URLLC,Medium
1123,514,23.47,91,1.87,432.38,7.94,53.15,1.94,61,45,eMBB,Low
5772,859,61.86,83,2.8,552.03,13.53,73.35,2.89,98,42,eMBB,Low
1478,1310,5.0,78,3.75,952.92,3.69,65.54,6.19,92,42,eMBB,Low
3474,518,69.6,48,13.42,133.98,37.87,109.27,6.84,64,91,eMBB,High
1619,745,22.79,37,1.91,230.79,7.22,54.34,2.66,67,32,mMTC,Low
5877,1145,72.07,96,8.93,870.48,26.42,94.02,9.08,27,69,eMBB,High
6193,490,95.43,98,7.04,297.2,27.71,123.44,3.71,17,88,mMTC,High
326,1626,5.0,79,8.08,1189.9,17.23,39.75,11.07,25,39,URLLC,Medium
5455,885,75.89,92,9.48,613.5,30.72,86.5,7.88,103,54,mMTC,High
5068,689,71.92,54,7.51,222.08,27.91,114.31,5.24,146,89,URLLC,High
991,506,20.25,92,2.94,429.34,9.13,55.46,9.48,54,48,URLLC,Medium
5674,1378,64.51,91,10.11,1006.48,27.13,89.1,9.81,118,54,URLLC,High
4172,1551,55.34,86,4.67,1177.65,21.47,102.29,3.49,123,87,eMBB,Medium
5232,981,68.97,71,9.68,509.52,28.09,119.25,4.08,133,90,URLLC,High
2357,1021,33.37,42,6.64,346.17,18.9,50.68,11.23,128,21,eMBB,Medium
2888,821,31.22,78,3.67,548.6,14.03,58.13,1.98,7,41,eMBB,Low
496,1472,9.48,39,3.92,542.93,8.38,63.51,0.51,50,65,URLLC,Low
5319,1323,45.17,65,4.17,697.09,12.99,73.88,5.45,84,33,eMBB,Low
2178,1680,7.14,79,3.17,1237.69,5.32,35.32,9.61,24,22,mMTC,Low
4844,1335,52.11,43,8.77,411.0,25.64,77.36,9.26,174,29,mMTC,High
4524,407,78.92,66,11.55,129.67,34.91,109.5,11.03,82,88,mMTC,High
3337,1546,26.83,67,8.21,881.53,21.39,90.29,6.4,92,65,eMBB,Medium
5678,131,96.58,64,5.33,5.0,28.72,99.84,1.2,116,62,eMBB,High
3993,455,82.08,63,10.65,161.38,30.97,103.11,7.06,137,77,mMTC,High
5147,342,81.12,37,10.64,5.0,35.58,102.7,9.34,55,63,eMBB,High
2105,346,21.86,91,1.41,258.54,4.28,51.4,1.12,11,43,mMTC,Low
2116,438,49.11,64,2.48,221.63,14.25,56.23,2.07,160,37,mMTC,Low
3271,1420,32.11,43,3.31,511.98,16.25,87.84,0.15,119,59,mMTC,Low
2768,1427,20.93,60,0.0,787.0,4.39,34.45,7.12,70,11,eMBB,Low
1978,1769,5.0,36,5.69,557.19,7.02,51.15,10.64,16,35,eMBB,Medium
1296,731,14.57,96,4.74,641.64,10.03,61.99,8.05,121,60,mMTC,Medium
1872,1666,9.86,37,8.87,524.06,21.2,80.35,11.78,123,56,eMBB,High
261,1732,5.0,80,2.37,1351.71,4.51,34.41,0.76,9,35,eMBB,Low
4076,1524,48.78,59,10.54,718.28,29.35,108.66,10.84,30,93,URLLC,High
1851,125,52.23,85,12.75,48.69,29.16,91.1,9.77,59,93,mMTC,High
875,679,45.18,47,6.07,281.11,17.74,86.72,3.77,69,84,URLLC,High
6023,799,85.29,78,10.91,415.98,33.47,111.41,11.68,16,83,URLLC,High
5247,1372,53.95,69,3.26,789.79,19.15,102.96,3.46,49,70,eMBB,Medium
1039,680,29.91,89,7.43,541.75,17.4,35.67,10.67,36,32,URLLC,Medium
3320,460,53.15,43,9.69,98.83,22.27,73.01,10.57,117,46,mMTC,High
639,197,38.02,36,9.35,49.42,27.5,71.0,9.09,156,50,eMBB,High
5017,1669,36.57,95,6.27,1377.28,17.7,97.62,6.76,159,61,URLLC,Medium
1561,195,53.67,75,6.19,99.68,21.49,93.2,1.44,79,92,mMTC,High
5284,1733,55.2,78,9.3,1114.88,22.53,113.45,6.38,10,91,URLLC,High
455,339,14.88,98,6.9,301.74,14.92,69.89,4.28,133,58,URLLC,Medium
3704,1178,31.08,65,6.03,634.62,15.88,62.55,9.51,122,36,URLLC,Medium
3423,1583,6.36,81,7.1,1120.79,11.28,34.83,9.1,34,15,eMBB,Low
334,384,32.21,36,12.42,115.58,28.25,81.54,10.93,32,83,eMBB,High
6470,86,86.87,92,6.17,5.0,22.71,106.3,0.18,17,75,mMTC,High
1648,445,35.65,78,7.45,284.35,17.14,49.92,9.71,164,33,mMTC,High
2196,1737,5.0,90,1.35,1490.81,5.62,62.48,11.26,12,47,mMTC,Low
4313,602,41.23,77,6.52,330.53,17.05,69.53,9.47,89,37,mMTC,Medium
2201,1451,13.47,68,0.51,927.46,2.3,55.68,1.56,109,37,URLLC,Low
1773,1541,21.42,64,7.23,882.49,16.33,78.8,0.98,0,75,URLLC,Medium
5263,1318,57.0,89,3.53,1006.94,15.52,95.01,0.25,62,70,mMTC,Low
2200,508,37.01,47,7.49,168.86,20.78,74.53,7.54,33,55,URLLC,High
3757,870,62.37,37,10.2,200.61,28.92,101.71,7.56,102,78,URLLC,High
4753,1601,58.26,60,10.02,761.56,24.51,102.2,11.84,9,84,mMTC,High
3696,1643,48.4,91,5.94,1328.72,17.34,105.85,4.78,127,83,mMTC,Medium
3848,826,43.99,58,6.73,356.01,17.67,74.92,3.98,6,52,eMBB,Medium
3273,446,49.66,87,4.26,292.42,15.25,78.91,7.49,55,68,eMBB,Medium
1915,392,17.14,77,5.14,241.04,12.05,39.85,9.91,79,11,eMBB,Medium
3941,617,36.96,94,5.07,456.95,15.88,60.21,11.24,164,24,URLLC,Medium
2105,1000,23.35,92,8.37,803.2,13.7,64.37,9.64,156,46,eMBB,Medium
4593,1157,48.66,83,7.73,783.63,23.95,99.3,5.12,11,80,URLLC,High
774,1644,5.0,76,1.43,1215.2,3.15,42.8,7.62,144,29,URLLC,Low
486,1570,5.0,100,4.8,1495.05,6.82,45.26,10.28,47,44,eMBB,Low
2258,944,28.23,45,6.35,345.87,17.78,60.7,5.89,25,43,URLLC,Medium
2761,1267,57.72,52,7.36,549.41,18.69,107.52,2.6,111,95,eMBB,High
2164,861,20.81,86,2.07,673.59,4.11,58.3,2.04,121,40,eMBB,Low
3951,413,33.0,80,0.74,229.59,11.46,52.62,0.0,11,28,mMTC,Low
3353,1650,44.77,78,10.21,1093.67,25.71,98.65,8.62,148,77,eMBB,High
5079,877,51.5,56,4.01,347.73,14.61,70.11,1.33,41,33,eMBB,Low
4736,427,76.42,87,7.69,229.28,27.05,110.57,2.93,60,93,URLLC,High
4366,352,66.56,93,5.03,204.49,20.17,73.94,3.57,57,48,mMTC,Medium
839,1042,8.63,64,4.03,623.51,8.48,69.58,6.72,33,63,eMBB,Low
1501,799,5.0,42,6.67,279.4,13.22,51.64,4.78,6,48,URLLC,Medium
3359,1517,7.94,91,8.4,1199.86,15.31,55.75,8.1,108,26,eMBB,Low
2377,579,38.7,54,1.61,249.04,10.41,44.98,0.67,34,28,eMBB,Low
4004,1196,37.18,59,4.07,581.61,13.3,79.41,1.49,14,57,URLLC,Medium
4023,764,41.43,53,7.73,278.26,18.96,60.86,5.99,24,44,URLLC,High
4314,158,66.18,39,8.01,5.0,23.32,77.17,4.04,58,41,URLLC,High
3327,701,55.99,61,6.15,322.52,23.17,76.38,3.55,78,56,URLLC,High
2931,1320,27.54,74,1.13,894.33,8.17,73.76,0.8,85,56,mMTC,Low
3858,1026,63.23,60,14.04,447.12,37.32,99.36,10.75,133,73,URLLC,High
2612,437,52.36,61,9.35,180.5,25.33,71.42,8.3,179,55,eMBB,High
2251,697,30.48,96,2.24,600.35,9.75,59.78,1.46,87,44,mMTC,Low
3775,586,44.58,84,0.34,396.47,8.25,61.36,0.78,148,26,eMBB,Low
2845,1662,12.7,76,7.77,1110.21,17.81,70.95,11.7,70,51,eMBB,Medium
6191,1284,62.06,63,4.72,622.33,18.51,82.41,8.17,120,38,eMBB,Medium
3966,655,60.62,73,9.0,343.14,24.24,101.0,5.01,92,79,eMBB,High
3864,1349,10.05,94,5.42,1114.19,12.07,55.15,8.42,95,26,mMTC,Low
5901,323,92.26,75,12.41,69.67,37.4,120.99,9.08,31,90,mMTC,High
5918,585,49.43,67,5.22,226.95,18.27,71.49,9.36,52,23,URLLC,Medium
2322,501,36.58,50,5.94,180.05,18.1,53.59,5.73,58,33,eMBB,Medium
2892,1423,31.4,57,7.56,687.71,17.35,85.64,5.16,68,66,eMBB,Medium
1797,1190,41.51,41,2.88,431.27,11.93,74.94,0.13,131,59,eMBB,Low
